CA,0.5238095238095241
NJ,-1.376923076923077
TX,-1.4000000000000001
VA,0.8181818181818181
MD,1.882142857142857
NY,0.3833333333333333
MI,0.17083333333333334
WA,0.5767857142857145
DC,0.9634920634920635
IL,1.297077922077922
OR,0.25
PA,0.17142857142857143
OH,-0.7333333333333334
FL,-1.2125
MT,-0.6291666666666668
SC,0.22619047619047616
GA,0.09166666666666662
MO,0.3761904761904761
AL,0.0
NV,0.26
KY,0.5
HI,0.0
WI,-0.29999999999999993
MA,0.4600000000000001
CT,0.0
IA,0.13636363636363635
ND,0.0
VT,0.0
NH,0.0
TN,0.09642857142857142
NE,0.008333333333333333
AZ,0.75
NC,0.0
MS,0.0
